"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2005","Excel Export - Download and Verify","","2026-01-13","passed","2026-01-13","Export Formats - Robust Testing","","",""
"","5522","Contact Form Validation - Required Fields","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","7242","Cleanup - Remove any existing test data","","2026-01-13","passed","2026-01-13","Dashboard and Navigation","","",""
"","2607","Add Person form fields and submit button","","2026-01-13","passed","2026-01-13","Person Details and Functionality","","",""
"","6827","PDF Export - Handle Multiple Behaviors","","2026-01-13","passed","2026-01-13","Export Formats - Robust Testing","","",""
"","20816","Edit Record - Change Status and Add Comment","","2026-01-13","passed","2026-01-13","Customer Contact Records Management","","",""
"","4116","Dashboard Navigation to Customer Contact Form","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","1899","CSV Export - Download and Verify Content","","2026-01-13","passed","2026-01-13","Export Formats - Robust Testing","","",""
"","2028","Login shows dashboard with expected items","","2026-01-13","passed","2026-01-13","Dashboard and Navigation","","",""
"","3817","Customer Contact Form Structure and Validation","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","2806","Navigate to Customer Calls List and Verify Page Structure","","2026-01-13","passed","2026-01-13","Customer Contact Records Management","","",""
"","6322","Verify Edit Mode - Pencil Icon Navigation and Edit Indicators","","2026-01-13","passed","2026-01-13","Customer Contact Records Management","","",""
"","1816","Export Navigation and UI Elements","","2026-01-13","passed","2026-01-13","Data Export - Final Working Version","","",""
"","1760","Cannot add duplicate person","","2026-01-13","passed","2026-01-13","Person Duplicate Prevention","","",""
"","3402","Validate Default Form Values and Auto-Population","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","5940","All Export Formats Summary","","2026-01-13","passed","2026-01-13","Export Formats - Robust Testing","","",""
"","5143","Reset Form Functionality","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","9358","Verify Record Access Methods - Call Number Link, Eye Icon, and Pencil Icon","","2026-01-13","passed","2026-01-13","Customer Contact Records Management","","",""
"","7945","Record Customer Contact - Complete Workflow","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","3419","Back to Customer Calls Navigation","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","3113","Contact History/List View Access","","2026-01-13","passed","2026-01-13","Customer Contact Recording","","",""
"","5071","Export Page Functionality Test","","2026-01-13","passed","2026-01-13","Data Export - Final Working Version","","",""
